"id","user_id","movie_id","tags","created_at"
"1","1","318","narrated","1425942000"
"14","49","2642","comic book","1149449000"
"15","49","2643","comic book","1149449000"
"16","49","3440","comic book","1149449000"
"20","50","750","satire","1462078000"
"22","63","393","video game adaptation","1198545000"
"23","79","909","suicide attempt","1486673000"
"24","79","1057","comedy","1483577000"
"25","79","1057","sweet","1483577000"
"26","79","1057","Woody Allen","1483577000"
"27","79","1060","90s","1483659000"
"28","79","1060","funny","1483659000"
"29","79","1060","great dialogue","1483659000"
"30","79","1060","swing dance","1483659000"
"31","79","1060","vegas","1483659000"
"32","79","1073","chocolate","1483667000"
"33","79","1073","colourful","1483667000"
"34","79","1073","cult film","1483667000"
"35","79","1073","England","1483667000"
"36","79","1073","imagination","1483667000"
"37","79","1073","quirky","1483667000"
"38","79","1073","surreal","1483667000"
"39","79","1073","Whimsical","1483667000"
"40","79","1073","witty","1483667000"
"41","79","1247","quirky","1486673000"
"42","79","1247","seduction","1486673000"
"43","79","1265","comedy","1483578000"
"44","79","1265","feel-good","1483578000"
"45","79","1265","funny","1483578000"
"46","79","1265","hilarious","1483578000"
"47","79","1265","original plot","1483578000"
"48","79","1265","surreal","1483578000"
"49","79","1265","time loop","1483578000"
"50","79","1265","witty","1483578000"
"51","79","1784","comedy","1483577000"
"52","79","1784","excellent script","1483577000"
"53","79","1784","feel-good","1483577000"
"54","79","1784","funny","1483577000"
"55","79","1784","great intelligent comedy","1483577000"
"56","79","1784","grumpy man","1483577000"
"57","79","1784","neurosis","1483577000"
"58","79","1784","quirky","1483577000"
"59","79","1784","sappy","1483577000"
"60","79","1784","writing","1483577000"
"61","79","1968","1980's cult","1483578000"
"62","79","2065","bittersweet","1483578000"
"63","79","2065","charming","1483578000"
"64","79","2065","fanciful","1483578000"
"65","79","2065","fantasy","1483578000"
"66","79","2065","fun premise","1483578000"
"67","79","2065","nostalgic","1483578000"
"68","79","2065","romance","1483578000"
"69","79","2065","warm","1483578000"
"70","79","2065","Woody Allen","1483578000"
"71","79","2100","mermaid","1486673000"
"72","79","2145","record store","1483577000"
"73","79","2145","romantic comedy","1483577000"
"74","79","2424","bookshop","1483578000"
"75","79","2424","chatting","1483578000"
"76","79","2424","chick flick","1483578000"
"77","79","2424","fun","1483578000"
"78","79","2424","New York City","1483578000"
"79","79","2424","romantic comedy","1483578000"
"80","79","2424","romcom","1483578000"
"81","79","2671","bookshop","1483667000"
"82","79","2671","British","1483667000"
"83","79","2671","funny","1483667000"
"84","79","2671","London","1483667000"
"85","79","2671","romance","1483667000"
"86","79","2671","sweet","1483667000"
"87","79","2797","1980s","1483578000"
"88","79","2797","80's","1483578000"
"89","79","2797","comedy","1483578000"
"90","79","2797","coming of age","1483578000"
"91","79","2797","New York City","1483578000"
"92","79","2797","toy store","1483578000"
"93","79","2797","toys","1486673000"
"94","79","3317","creativity","1486674000"
"95","79","3317","funny","1486674000"
"96","79","3317","on the road","1486674000"
"97","79","3481","actor talks to audience","1486674000"
"98","79","3481","awesome soundtrack","1486674000"
"99","79","3481","charming","1486674000"
"100","79","3481","funny","1486674000"
"101","79","3481","great soundtrack","1486674000"
"102","79","3481","hilarious","1486674000"
"103","79","3481","indie rock","1486674000"
"104","79","3481","John Cusack","1486674000"
"105","79","3481","mixtape","1486674000"
